3142,1219,4,968988872
3655,2005,5,966452006
1599,3252,4,974823333
692,2792,3,975833194
1579,1518,3,974736164
404,3088,4,976291624
6023,2000,5,956751458
3475,223,3,1015737027
3167,1748,3,968815369
3675,1904,2,966363220
6036,1246,4,956717396
3504,860,4,967478578
32,1784,3,978118666
3332,3755,3,967849038
5746,2916,4,958354019
5198,1196,3,961696563
3408,1639,4,967422010
3675,532,3,966363610
5047,431,3,966134316
2012,158,3,974677635
2608,272,5,973727623
149,24,4,989246719
3538,733,4,966883620
6025,3018,4,956730327
1124,2374,4,974913437
1383,1597,3,975979779
3913,3039,2,965748511
5889,1097,4,960482108
5276,296,2,961102316
1298,460,3,974831951
5074,2726,5,962435666
1613,1499,1,974736344
2638,2746,2,973707188
829,1945,5,987132499
2189,3754,3,974607616
2110,2424,1,974652713
5084,594,1,963893818
593,36,4,975899573
5759,2006,3,958254928
4700,2080,2,997591693
2073,2125,5,974756897
2073,1959,3,974658142
944,2976,3,975165799
5894,733,4,957463775
1019,150,4,985372773
5387,3244,2,961191204
3507,2457,4,967063990
3726,1374,4,966226056
4578,22,4,964797018
392,858,5,976306658
3415,1704,5,967518057
1420,1734,4,974767844
2428,357,1,974225887
5505,2403,4,959732925
4387,249,4,965251862
5916,1885,4,957321060
4575,3264,2,964446135
3030,562,4,970355546
1317,2359,5,974783516
660,750,4,976739943
1383,1353,2,975980034
5955,2137,5,957108162
2383,2424,2,974324949
1124,450,5,974913143
1584,1594,4,974736238
3242,1037,2,968351100
172,1961,3,977164808
2377,3785,4,974331333
2147,2081,3,974621868
2097,2948,3,974733943
2102,387,1,974654526
3675,1641,4,966368861
1746,1288,5,974853891
3189,2371,3,969862897
935,314,4,975183977
4509,161,4,965523006
5835,260,5,957845012
4700,2143,3,963781110
5623,1208,4,959092534
5074,1237,3,962550536
4560,588,3,964813377
192,2716,4,977027507
4578,1625,5,964387491
3732,1212,4,974059764
1149,2716,4,974869764
2820,3475,4,972661102
4484,1302,2,965017578
5972,543,4,963614908
5387,3917,4,1000908064
1274,1270,3,974811501
4795,2966,5,969410921
4826,3717,4,962913141
1317,1274,4,1011745977
225,2324,2,976831320
2428,34,4,974914277
2070,246,5,992029323
662,3555,5,975660820
2348,3111,2,974412159
1329,3452,3,976914227
1383,3395,1,975977719
4765,1262,5,1012020567
2072,2081,3,974661334
26,1240,4,978143197
2258,46,3,982441278
1380,2306,4,975011804
1317,2118,4,975211995
1743,551,3,974703497
5449,1479,5,959949582
1790,628,4,974705747
302,708,2,976506285
3118,1223,5,969404264
1317,3527,4,975207774
2383,1304,3,974323977
2860,1921,3,974152148
3768,596,4,987189220
5972,2657,4,963614762
3159,3701,4,968879291
729,1222,4,975512912
5397,296,5,960312394
3768,485,3,966067185
2731,1923,5,973243663
5237,2762,5,961762910
5326,2315,5,960846024
4089,3484,4,971669715
1547,1206,3,1007406959
2303,2529,5,974580874
3761,2985,4,966092730
4104,2009,4,965416046
3726,151,5,966230904
3998,332,3,965578689
5565,3479,3,959353693
1780,1010,2,985421037
5543,1097,3,959513183
4700,3713,4,963546414
3607,2762,5,966612708
4575,2746,1,964445986
2789,1210,5,972948792
5755,2782,4,958281662
5594,3207,4,959224836
3538,3476,4,966883383
2825,1584,3,972611807
2205,994,3,974604332
2102,3683,5,974656683
5209,527,3,961605505
4472,3729,3,965064577
4387,832,5,977034265
5237,3450,5,961443885
935,3198,4,976669675
3491,1307,4,967063405
5260,1276,2,961199581
192,2320,4,977029267
2608,2762,5,974397741
3900,1285,3,965875331
1019,2389,1,976057343
3067,2143,2,970002776
3768,1304,4,966063011
4089,3029,4,965536784
1274,1288,4,1009973220
392,1197,4,976303936
302,2448,1,976507406
6036,2018,5,956717085
2564,1619,4,973970996
5317,2321,5,960909403
1602,1968,4,974733267
5063,261,5,962497682
2922,1639,4,971648890
3067,303,4,996605480
1109,110,5,974921123
5889,955,5,961533687
660,1582,2,975688211
4680,1079,4,963704509
5543,594,3,959705176
6036,3006,4,956710831
4387,1513,3,965435104
2638,2448,2,980176735
5260,1244,3,961200874
5755,2539,3,958281964
2854,3185,1,972510894
2624,2108,5,973651221
4765,203,4,1012019032
5570,1078,5,959599890
136,923,4,977424608
2429,1598,3,975259094
4472,605,4,965066976
5378,3681,4,960403897
2895,1923,5,971986428
3189,2822,3,969862165
1267,1960,2,974829103
5570,1196,5,959309976
302,2393,1,976503749
5567,2136,3,959349559
3607,611,1,971916989
5621,2789,3,961135500
6025,1821,3,956731693
2293,1192,5,974509055
4024,2141,2,965518533
1579,318,5,974756855
1390,1485,4,991716730
3761,1573,4,966092771
392,1370,3,976306838
2820,2513,3,972660183
3481,2396,4,967075569
5755,236,4,958281964
5880,1129,5,958404688
3768,2770,3,966064583
24,1441,4,978133237
3001,1036,5,970616542
4373,2087,4,965182600
4765,1188,4,971813984
3045,1953,4,970189631
829,858,5,975369202
4214,3301,5,965318662
3067,832,4,969996993
5397,1288,4,963415862
1599,3552,3,974824024
1218,750,5,976129565
3675,206,4,966365378
2176,319,4,1039229083
3452,2000,4,967241068
679,1201,3,975607799
1267,1028,5,974911093
1149,1377,2,974870344
263,3361,5,976651957
3501,1641,4,966996544
5387,2065,3,961192104
2205,3270,2,974605262
1626,2028,5,974723155
1599,3927,4,974825469
5594,608,5,959225926
2860,2346,4,972503558
2586,1084,4,973869023
5843,2161,1,957805572
1836,1036,3,974828800
1842,1339,5,993446744
2731,2301,3,973244249
1216,1291,3,974849381
5501,3033,2,959797253
224,1091,1,976831360
3905,260,5,965855561
4578,934,5,964449000
4089,1994,5,965536605
2854,1414,2,972513008
4578,2791,4,964448841
4575,1347,1,964446072
3481,1214,3,968734382
2605,3527,4,973747658
1124,592,4,974910143
5320,356,1,960863005
5759,1732,5,959559219
1329,849,5,976831614
2681,2145,5,973390891
4560,3104,3,964650614
1267,1210,3,974817751
2820,3912,2,985565342
303,2710,2,976504338
5511,3703,3,959714618
530,1240,5,976142686
2592,1272,5,973829325
5084,1968,4,962402063
2638,2105,2,974177882
4315,3712,3,965258212
32,1088,4,978121564
1263,2011,4,974840326
3118,1080,4,969404596
4373,527,5,965177162
308,1193,4,976483876
2176,2300,4,974610595
3967,60,2,967552799
1344,1374,4,974774497
2693,2728,2,973318272
1608,3115,1,974730566
5157,908,5,962245501
5517,2637,3,959701490
3732,2132,1,986750333
2605,1219,5,973747848
1788,232,5,974700122
2586,1394,5,973869663
1495,1259,3,974749340
4141,440,3,965349794
5678,1997,4,958628354
2625,2517,3,973635465
5397,852,3,963416092
5620,1955,5,969985001
4089,553,4,965429143
3675,3873,5,966362684
4310,481,4,965259936
1721,39,3,974705773
3189,2245,4,969863061
5755,1674,5,958265861
1721,3669,4,974729429
4233,2102,3,965312656
3675,1023,4,966364376
6001,1127,4,956802507
1535,386,1,974743917
1584,1180,2,976774882
2825,1177,3,972611726
136,2093,5,977423786
4855,2762,5,962849717
5775,805,4,958167369
5505,2700,3,959732117
5667,2947,4,958755106
1746,2530,4,974704074
2348,3101,3,974412227
34,1441,4,978104515
2121,3334,3,974647262
1267,1240,5,974817707
4472,2505,4,965070001
1032,1500,4,974997862
3329,2565,2,967865720
28,1916,3,978126438
660,267,3,975692046
2592,318,4,973828675
1842,1584,4,993443831
2688,1968,4,978834981
5916,1288,3,957321245
5952,933,5,957144461
5074,3793,2,963899292
5317,3105,4,960906505
5617,1196,4,959127759
4798,3147,4,962977206
660,2475,3,975699444
2205,585,2,974604127
5387,581,5,1043941851
3067,1396,4,969997529
2271,2289,4,1007158560
5755,515,3,958265565
1790,3873,1,974705591
837,707,2,975359984
1514,457,5,974746561
4855,3114,5,962847875
4199,1835,2,965322812
5317,2596,4,1001036108
5074,2490,4,962430528
1420,1129,5,975504624
1780,2408,2,1024821491
5074,866,3,962429096
5880,3557,3,957545025
2966,25,4,971136780
1032,1580,5,974998585
3242,780,4,968348431
3068,1358,3,969989860
1216,2722,2,974850112
3067,50,4,969996749
5329,910,5,1045895879
5585,318,4,959489324
3796,1272,5,966016958
3118,2011,2,969405273
5074,909,4,962429935
3414,3821,4,967407054
4214,2028,3,965317951
34,1541,3,978104549
781,547,2,975434403
136,417,1,977422909
3507,3770,3,982458278
567,1580,5,976033314
4742,1974,3,963331065
1274,2959,4,974810749
4024,2147,3,965517671
5368,2454,2,960496704
5482,1997,4,959865777
15,3461,4,978212698
1317,1395,3,1022378168
1842,1625,4,996423192
1298,2455,4,974830405
3506,1265,5,966979810
4828,353,3,962906018
2075,1611,4,974656909
192,1690,3,977089217
3913,500,5,965766010
4898,954,5,962798682
656,1204,3,975738916
1170,1952,5,974860737
5917,2657,5,957316716
3001,349,4,971204516
3656,3758,1,966449376
2592,1344,4,974056887
3504,2841,3,966981934
5326,3175,3,960845238
684,2394,4,975602583
1019,52,4,975008035
2073,3886,4,974663018
308,246,5,995833794
302,2794,2,976504824
2434,1370,1,974223659
5074,2437,4,964551812
684,3408,3,975602266
2901,3304,5,971882787
3491,3735,4,967068047
3347,3623,4,967757095
2944,2248,5,1011209842
910,1207,5,981314201
4578,2706,5,964387645
692,3101,3,1025882180
4556,3566,3,964827463
3768,2717,3,966067328
3675,2528,3,966363885
